Seconds,Time,CO2_Stone,Air_Stone
1,1:41:42 PM,7.47,7.41
2,1:41:43 PM,7.47,7.41
3,1:41:44 PM,7.47,7.41
4,1:41:45 PM,7.47,7.41
5,1:41:46 PM,7.47,7.41
6,1:41:47 PM,7.47,7.41
7,1:41:48 PM,7.47,7.41
8,1:41:49 PM,7.47,7.41
9,1:41:50 PM,7.47,7.42
10,1:41:51 PM,7.47,7.41
11,1:41:52 PM,7.47,7.42
12,1:41:53 PM,7.47,7.42
13,1:41:54 PM,7.47,7.42
14,1:41:55 PM,7.47,7.42
15,1:41:56 PM,7.47,7.42
16,1:41:57 PM,7.47,7.42
17,1:41:58 PM,7.47,7.42
18,1:41:59 PM,7.47,7.42
19,1:42:00 PM,7.47,7.42
20,1:42:01 PM,7.47,7.42
21,1:42:02 PM,7.47,7.42
22,1:42:03 PM,7.47,7.42
23,1:42:04 PM,7.47,7.42
24,1:42:05 PM,7.47,7.42
25,1:42:06 PM,7.47,7.42
26,1:42:07 PM,7.47,7.42
27,1:42:08 PM,7.47,7.42
28,1:42:09 PM,7.47,7.42
29,1:42:10 PM,7.47,7.42
30,1:42:11 PM,7.47,7.42
31,1:42:12 PM,7.47,7.42
32,1:42:13 PM,7.47,7.42
33,1:42:14 PM,7.47,7.42
34,1:42:15 PM,7.47,7.42
35,1:42:16 PM,7.47,7.42
36,1:42:17 PM,7.47,7.42
37,1:42:18 PM,7.47,7.42
38,1:42:19 PM,7.47,7.42
39,1:42:20 PM,7.47,7.42
40,1:42:21 PM,7.47,7.42
41,1:42:22 PM,7.47,7.42
42,1:42:23 PM,7.47,7.42
43,1:42:24 PM,7.47,7.42
44,1:42:25 PM,7.47,7.42
45,1:42:26 PM,7.47,7.42
46,1:42:27 PM,7.47,7.42
47,1:42:28 PM,7.47,7.42
48,1:42:29 PM,7.47,7.42
49,1:42:30 PM,7.47,7.42
50,1:42:31 PM,7.47,7.42
51,1:42:32 PM,7.47,7.42
52,1:42:33 PM,7.48,7.43
53,1:42:34 PM,7.47,7.43
54,1:42:35 PM,7.46,7.42
55,1:42:36 PM,7.46,7.44
56,1:42:37 PM,7.47,7.45
57,1:42:38 PM,7.45,7.44
58,1:42:39 PM,7.42,7.43
59,1:42:40 PM,7.42,7.43
60,1:42:41 PM,7.41,7.43
61,1:42:42 PM,7.4,7.43
62,1:42:43 PM,7.39,7.43
63,1:42:44 PM,7.37,7.43
64,1:42:45 PM,7.35,7.43
65,1:42:46 PM,7.34,7.43
66,1:42:47 PM,7.33,7.43
67,1:42:48 PM,7.32,7.43
68,1:42:49 PM,7.3,7.43
69,1:42:50 PM,7.29,7.43
70,1:42:51 PM,7.28,7.43
71,1:42:52 PM,7.27,7.43
72,1:42:53 PM,7.25,7.43
73,1:42:54 PM,7.22,7.43
74,1:42:55 PM,7.21,7.43
75,1:42:56 PM,7.2,7.43
76,1:42:57 PM,7.18,7.43
77,1:42:58 PM,7.17,7.43
78,1:42:59 PM,7.16,7.42
79,1:43:00 PM,7.14,7.42
80,1:43:01 PM,7.13,7.42
81,1:43:02 PM,7.12,7.43
82,1:43:03 PM,7.1,7.42
83,1:43:04 PM,7.09,7.42
84,1:43:05 PM,7.07,7.42
85,1:43:06 PM,7.06,7.42
86,1:43:07 PM,7.04,7.42
87,1:43:08 PM,7.02,7.42
88,1:43:09 PM,7.01,7.42
89,1:43:10 PM,6.99,7.42
90,1:43:11 PM,6.98,7.42
91,1:43:12 PM,6.97,7.41
92,1:43:13 PM,6.95,7.41
93,1:43:14 PM,6.93,7.41
94,1:43:15 PM,6.92,7.41
95,1:43:16 PM,6.9,7.41
96,1:43:17 PM,6.88,7.41
97,1:43:18 PM,6.87,7.41
98,1:43:19 PM,6.85,7.41
99,1:43:20 PM,6.84,7.4
100,1:43:21 PM,6.83,7.4
101,1:43:22 PM,6.81,7.4
102,1:43:23 PM,6.79,7.4
103,1:43:24 PM,6.78,7.4
104,1:43:25 PM,6.76,7.4
105,1:43:26 PM,6.75,7.4
106,1:43:27 PM,6.74,7.4
107,1:43:28 PM,6.73,7.39
108,1:43:29 PM,6.72,7.39
109,1:43:30 PM,6.71,7.39
110,1:43:31 PM,6.7,7.39
111,1:43:32 PM,6.69,7.39
112,1:43:33 PM,6.69,7.39
113,1:43:34 PM,6.67,7.39
114,1:43:35 PM,6.66,7.38
115,1:43:36 PM,6.65,7.38
116,1:43:37 PM,6.65,7.37
117,1:43:38 PM,6.64,7.37
118,1:43:39 PM,6.63,7.37
119,1:43:40 PM,6.62,7.37
120,1:43:41 PM,6.61,7.36
121,1:43:42 PM,6.6,7.36
122,1:43:43 PM,6.59,7.35
123,1:43:44 PM,6.57,7.35
124,1:43:45 PM,6.56,7.35
125,1:43:46 PM,6.56,7.35
126,1:43:47 PM,6.56,7.35
127,1:43:48 PM,6.55,7.35
128,1:43:49 PM,6.54,7.35
129,1:43:50 PM,6.53,7.35
130,1:43:51 PM,6.51,7.34
131,1:43:52 PM,6.5,7.34
132,1:43:53 PM,6.5,7.34
133,1:43:54 PM,6.49,7.34
134,1:43:55 PM,6.49,7.33
135,1:43:56 PM,6.48,7.33
136,1:43:57 PM,6.48,7.32
137,1:43:58 PM,6.47,7.32
138,1:43:59 PM,6.45,7.31
139,1:44:00 PM,6.45,7.31
140,1:44:01 PM,6.44,7.31
141,1:44:02 PM,6.43,7.3
142,1:44:03 PM,6.42,7.3
143,1:44:04 PM,6.42,7.3
144,1:44:05 PM,6.41,7.29
145,1:44:06 PM,6.4,7.29
146,1:44:08 PM,6.4,7.29
147,1:44:09 PM,6.39,7.29
148,1:44:10 PM,6.39,7.29
149,1:44:11 PM,6.38,7.29
150,1:44:12 PM,6.38,7.28
151,1:44:13 PM,6.37,7.28
152,1:44:14 PM,6.35,7.28
153,1:44:15 PM,6.34,7.28
154,1:44:16 PM,6.33,7.27
155,1:44:17 PM,6.33,7.27
156,1:44:18 PM,6.33,7.27
157,1:44:19 PM,6.32,7.26
158,1:44:20 PM,6.32,7.26
159,1:44:21 PM,6.32,7.26
160,1:44:22 PM,6.32,7.26
161,1:44:23 PM,6.32,7.25
162,1:44:24 PM,6.32,7.25
163,1:44:25 PM,6.32,7.25
164,1:44:26 PM,6.32,7.25
165,1:44:27 PM,6.31,7.24
166,1:44:28 PM,6.3,7.24
167,1:44:29 PM,6.29,7.24
168,1:44:30 PM,6.28,7.24
169,1:44:31 PM,6.28,7.24
170,1:44:32 PM,6.27,7.24
171,1:44:33 PM,6.26,7.22
172,1:44:34 PM,6.26,7.22
173,1:44:35 PM,6.25,7.22
174,1:44:36 PM,6.25,7.22
175,1:44:37 PM,6.24,7.21
176,1:44:38 PM,6.24,7.21
177,1:44:39 PM,6.23,7.21
178,1:44:40 PM,6.23,7.2
179,1:44:41 PM,6.23,7.2
180,1:44:42 PM,6.23,7.19
181,1:44:43 PM,6.23,7.19
182,1:44:44 PM,6.23,7.19
183,1:44:45 PM,6.22,7.19
184,1:44:46 PM,6.22,7.19
185,1:44:47 PM,6.21,7.18
186,1:44:48 PM,6.2,7.18
187,1:44:49 PM,6.2,7.17
188,1:44:50 PM,6.2,7.17
189,1:44:51 PM,6.2,7.17
190,1:44:52 PM,6.2,7.17
191,1:44:53 PM,6.2,7.16
192,1:44:54 PM,6.2,7.16
193,1:44:55 PM,6.19,7.16
194,1:44:56 PM,6.19,7.15
195,1:44:57 PM,6.18,7.15
196,1:44:58 PM,6.18,7.14
197,1:44:59 PM,6.18,7.14
198,1:45:00 PM,6.18,7.14
199,1:45:01 PM,6.18,7.14
200,1:45:02 PM,6.18,7.13
201,1:45:03 PM,6.18,7.13
202,1:45:04 PM,6.17,7.13
203,1:45:05 PM,6.17,7.13
204,1:45:06 PM,6.16,7.13
205,1:45:07 PM,6.15,7.12
206,1:45:08 PM,6.14,7.12
207,1:45:09 PM,6.14,7.12
208,1:45:10 PM,6.13,7.12
209,1:45:11 PM,6.13,7.11
210,1:45:12 PM,6.14,7.11
211,1:45:13 PM,6.14,7.1
212,1:45:14 PM,6.14,7.1
213,1:45:15 PM,6.14,7.09
214,1:45:16 PM,6.13,7.08
215,1:45:17 PM,6.13,7.08
216,1:45:18 PM,6.13,7.08
217,1:45:19 PM,6.12,7.07
218,1:45:20 PM,6.12,7.07
219,1:45:21 PM,6.11,7.06
220,1:45:22 PM,6.1,7.05
221,1:45:23 PM,6.1,7.05
222,1:45:24 PM,6.1,7.05
223,1:45:25 PM,6.1,7.05
224,1:45:26 PM,6.11,7.04
225,1:45:27 PM,6.11,7.04
226,1:45:28 PM,6.11,7.04
227,1:45:29 PM,6.11,7.04
228,1:45:30 PM,6.11,7.04
229,1:45:31 PM,6.1,7.04
230,1:45:32 PM,6.09,7.03
231,1:45:33 PM,6.09,7.03
232,1:45:34 PM,6.08,7.03
233,1:45:35 PM,6.08,7.02
234,1:45:36 PM,6.08,7.02
235,1:45:37 PM,6.08,7.02
236,1:45:38 PM,6.09,7.01
237,1:45:39 PM,6.09,7.01
238,1:45:40 PM,6.08,7
239,1:45:41 PM,6.07,7
240,1:45:42 PM,6.06,7
241,1:45:43 PM,6.06,7
242,1:45:44 PM,6.05,6.99
243,1:45:45 PM,6.05,6.99
244,1:45:46 PM,6.05,6.99
245,1:45:47 PM,6.05,6.98
246,1:45:48 PM,6.04,6.98
247,1:45:49 PM,6.04,6.97
248,1:45:50 PM,6.04,6.97
249,1:45:51 PM,6.04,6.97
250,1:45:52 PM,6.04,6.96
251,1:45:53 PM,6.04,6.96
252,1:45:54 PM,6.03,6.95
253,1:45:55 PM,6.03,6.95
254,1:45:56 PM,6.03,6.95
255,1:45:57 PM,6.03,6.95
256,1:45:58 PM,6.03,6.95
257,1:45:59 PM,6.04,6.95
258,1:46:00 PM,6.04,6.94
259,1:46:01 PM,6.04,6.94
260,1:46:02 PM,6.03,6.93
261,1:46:03 PM,6.03,6.93
262,1:46:04 PM,6.02,6.93
263,1:46:05 PM,6.02,6.92
264,1:46:06 PM,6.01,6.91
265,1:46:07 PM,6.01,6.91
266,1:46:08 PM,6.01,6.91
267,1:46:09 PM,6.01,6.91
268,1:46:10 PM,6.01,6.91
269,1:46:11 PM,6.01,6.9
270,1:46:12 PM,6,6.89
271,1:46:13 PM,6,6.89
272,1:46:14 PM,6,6.89
273,1:46:15 PM,6,6.88
274,1:46:16 PM,5.99,6.88
275,1:46:17 PM,5.99,6.88
276,1:46:18 PM,5.99,6.88
277,1:46:19 PM,5.98,6.88
278,1:46:20 PM,5.98,6.87
279,1:46:21 PM,5.98,6.87
280,1:46:22 PM,5.98,6.87
281,1:46:23 PM,5.98,6.86
282,1:46:24 PM,5.98,6.86
283,1:46:25 PM,5.98,6.86
284,1:46:26 PM,5.98,6.85
285,1:46:27 PM,5.98,6.85
286,1:46:28 PM,5.98,6.85
287,1:46:29 PM,5.98,6.84
288,1:46:30 PM,5.98,6.84
289,1:46:31 PM,5.98,6.84
290,1:46:32 PM,5.98,6.84
291,1:46:33 PM,5.98,6.84
292,1:46:34 PM,5.98,6.83
293,1:46:35 PM,5.98,6.83
294,1:46:36 PM,5.97,6.83
295,1:46:37 PM,5.97,6.83
296,1:46:38 PM,5.96,6.83
297,1:46:39 PM,5.96,6.82
298,1:46:40 PM,5.96,6.82
299,1:46:41 PM,5.96,6.82
300,1:46:42 PM,5.96,6.82
301,1:46:43 PM,5.96,6.81
302,1:46:44 PM,5.96,6.81
303,1:46:45 PM,5.96,6.81
304,1:46:46 PM,5.96,6.81
305,1:46:47 PM,5.95,6.81
306,1:46:48 PM,5.95,6.8
307,1:46:49 PM,5.95,6.8
308,1:46:50 PM,5.94,6.8
309,1:46:51 PM,5.94,6.8
310,1:46:52 PM,5.94,6.8
311,1:46:53 PM,5.95,6.79
312,1:46:54 PM,5.95,6.79
313,1:46:55 PM,5.95,6.78
314,1:46:56 PM,5.95,6.78
315,1:46:57 PM,5.95,6.77
316,1:46:58 PM,5.95,6.77
317,1:46:59 PM,5.95,6.77
318,1:47:00 PM,5.95,6.77
319,1:47:01 PM,5.95,6.76
320,1:47:02 PM,5.94,6.76
321,1:47:03 PM,5.94,6.76
322,1:47:04 PM,5.94,6.76
323,1:47:05 PM,5.93,6.76
324,1:47:06 PM,5.93,6.76
325,1:47:07 PM,5.93,6.76
326,1:47:08 PM,5.92,6.76
327,1:47:10 PM,5.92,6.76
328,1:47:11 PM,5.92,6.76
329,1:47:12 PM,5.92,6.75
330,1:47:13 PM,5.92,6.75
331,1:47:14 PM,5.92,6.75
332,1:47:15 PM,5.92,6.75
333,1:47:16 PM,5.92,6.75
334,1:47:17 PM,5.92,6.75
335,1:47:18 PM,5.92,6.74
336,1:47:19 PM,5.92,6.74
337,1:47:20 PM,5.92,6.74
338,1:47:21 PM,5.92,6.74
339,1:47:22 PM,5.92,6.73
340,1:47:23 PM,5.92,6.73
341,1:47:24 PM,5.92,6.73
342,1:47:25 PM,5.92,6.73
343,1:47:26 PM,5.91,6.73
344,1:47:27 PM,5.91,6.72
345,1:47:28 PM,5.91,6.72
346,1:47:29 PM,5.91,6.72
347,1:47:30 PM,5.9,6.71
348,1:47:31 PM,5.9,6.71
349,1:47:32 PM,5.9,6.71
350,1:47:33 PM,5.89,6.71
351,1:47:34 PM,5.89,6.7
352,1:47:35 PM,5.89,6.7
353,1:47:36 PM,5.89,6.7
354,1:47:37 PM,5.89,6.7
