Seconds,Time,CO2_Stone,CO2_Center,CO2_Exit,Air_Exit,Air_Center,Air_Stone
0,0:00,7.93,,,,,7.95
60,1:00,7,,,,,7.95
90,1:30,,6.9,,,7.95,
120,2:00,6.8,,,,,7.9
150,2:30,,6.85,,,7.9,
180,3:00,,,6.82,7.88,,
210,3:30,6.73,,,,,7.88
240,4:00,,6.7,,,7.83,
270,4:30,,,6.68,7.73,,
300,5:00,6.57,,,,,7.78
330,5:30,,6.59,,,7.74,
360,6:00,,,6.54,7.69,,
390,6:30,6.5,,,,,7.69
420,7:00,,6.49,,,7.65,
450,7:30,,,6.42,7.51,,
480,8:00,6.26,,,,,7.57
510,8:30,,6.37,,,7.52,
540,9:00,,,6.4,7.31,,
570,9:30,6.2,,,,,7.57
600,10:00,,6.32,,,7.52,
630,10:30,,,6.34,7.31,,
660,11:00,6.13,,,,,7.32
690,11:30,,6.26,,,7.27,
720,12:00,,,6.29,7.2,,
750,12:30,6.13,,,,,7.23
780,13:00,,6.23,,,7.18,
810,13:30,,,6.24,7.11,,
840,14:00,6.13,,,,,7.13
870,14:30,,6.18,,,7.08,
900,15:00,,,6.22,7.07,,
930,15:30,6.11,,,,,7.06
960,16:00,,6.13,,,7.02,
990,16:30,,,6.19,6.98,,
1020,17:00,6.06,,,,,6.99
1050,17:30,,6.1,,,6.94,
1080,18:00,,,6.11,6.83,,
1110,18:30,6.08,,,,,6.92
1140,19:00,,6.1,,,6.89,
1170,19:30,,,6.11,6.82,,
1200,20:00,5.98,,,,,6.89
