Temp_C,TA_ppm,pH,ppm
15.5,212,7.322,11440
15.5,212,6.838,20880
16.1,212,6.909,19450
16.1,212,6.806,18470
15.1,233,7.422,8020
15.1,233,6.535,43760
14.6,233,6.637,33900
14.6,233,6.381,49790
16.3,233,7.227,15570
16.3,233,6.592,32570
16.4,233,6.654,43810
16.4,233,6.446,44680
17.3,228,6.822,12500
17.3,228,6.471,26400
17.4,228,6.862,18410
17.4,228,6.379,33990
17.5,231,8.008,11910
17.5,231,6.18,47700
16.3,231,7.78,5830
16.3,231,6.26,45600
18.3,231,7.68,3100
18.3,231,6.25,37860
17.1,248,7.21,6460
17.1,248,6.49,20210
17.4,248,7.9,1410
17.4,248,6.57,34300
16.5,248,7.14,11640
16.5,248,6.77,28790
16.8,248,7.84,1570
16.8,248,6.77,16310
17.9,246,6.7,8660
17.9,246,6.27,44666
17.2,242,7.88,1730
17.2,242,6.59,16670
18,242,7.53,3800
18,242,6.48,29870
15.5,212,8.442,1210
15.5,212,8.036,1970
16.1,212,7.408,6440
16.1,212,7.372,5920
15.1,233,7.938,2180
15.1,233,7.616,3770
14.6,233,7.097,9260
14.6,233,6.984,10280
16.3,233,8.1,1650
16.3,233,7.742,3660
16.4,233,7.014,13500
16.4,233,7.041,10370
17.3,228,7.9,2010
17.3,228,7.496,2750
17.4,228,7.532,2710
17.4,228,7.114,4720
17.5,231,8.104,1390
17.5,231,7.19,5310
16.3,231,7.77,1630
16.3,231,6.99,6610
18.3,231,7.67,1920
18.3,231,6.96,6950
17.1,248,7.83,1430
17.1,248,7.46,2170
17.4,248,7.77,350
17.4,248,7.59,2200
16.5,248,7.94,1460
16.5,248,7.64,1460
16.8,248,7.77,1340
16.8,248,7.64,2320
17.9,246,7.95,1100
17.9,246,7.45,3440
17.2,242,7.89,280
17.2,242,7.82,1860
18,242,7.88,1440
18,242,7.05,8850
