Temp_C,TA_ppm,pH,ppm
17.5,231,8.008,11910
17.5,231,6.18,47700
16.3,231,7.78,5830
16.3,231,6.26,45600
18.3,231,7.68,3100
18.3,231,6.25,37860
17.1,248,7.21,6460
17.1,248,6.49,20210
17.4,248,7.9,1410
17.4,248,6.57,34300
16.5,248,7.14,11640
16.5,248,6.77,28790
16.8,248,7.84,1570
16.8,248,6.77,16310
17.9,246,6.7,8660
17.9,246,6.27,44666
17.2,242,7.88,1730
17.2,242,6.59,16670
18,242,7.53,3800
18,242,6.48,29870
17.5,231,8.104,1390
17.5,231,7.19,5310
16.3,231,7.77,1630
16.3,231,6.99,6610
18.3,231,7.67,1920
18.3,231,6.96,6950
17.1,248,7.83,1430
17.1,248,7.46,2170
17.4,248,7.77,350
17.4,248,7.59,2200
16.5,248,7.94,1460
16.5,248,7.64,1460
16.8,248,7.77,1340
16.8,248,7.64,2320
17.9,246,7.95,1100
17.9,246,7.45,3440
17.2,242,7.89,280
17.2,242,7.82,1860
18,242,7.88,1440
18,242,7.05,8850
