Train_ID,Speaker,Date,Time,Fish_ID,Species,Conditioning,Fish_TrialNum,Day,Temp_C,Alkalinity_ppm,Start_pH,End_pH,Start_ppm,End_ppm,Notes
1,Left,2022/8/1,1021,1-3,Bighead,Air,1,1,17.6,231,7.997,8.04,1440,1110,
2,Left,2022/8/1,1048,1-3,Bighead,Air,2,1,17.6,NA,8.035,8.043,1070,1250,
3,Right,2022/8/1,1126,1-3,Bighead,Air,3,1,17.6,NA,8.025,8.044,NA,NA,
4,Right,2022/8/1,1144,1-3,Bighead,Air,4,1,17.5,NA,8.048,8.059,NA,NA,
5,Right,2022/8/2,955,1-3,Bighead,Air,5,2,18.6,248,7.75,7.795,1700,1860,
6,Right,2022/8/2,1028,1-3,Bighead,Air,6,2,17.2,NA,7.802,7.808,1510,2000,
7,Left,2022/8/2,1102,1-3,Bighead,Air,7,2,17.2,NA,7.787,7.796,NA,NA,
8,Left,2022/8/2,1124,1-3,Bighead,Air,8,2,17.1,NA,7.806,7.816,NA,NA,
9,Left,2022/8/8,1035,4-8,Bighead,Carbon dioxide,1,1,16.9,226,7.968,6.423,NA,32270,Surface breathing halfway into trial
10,Right,2022/8/8,1123,4-8,Bighead,Carbon dioxide,2,1,16.9,NA,7.685,6.483,1510,20440,
11,Left,2022/8/8,1252,4-8,Bighead,Carbon dioxide,3,1,16.3,NA,7.865,6.469,1440,19370,
12,Right,2022/8/8,1134,4-8,Bighead,Carbon dioxide,4,1,16,NA,7.477,6.383,NA,NA,
13,Left,2022/8/9,1055,4-8,Bighead,Carbon dioxide,5,2,16.7,241,7.886,6.455,1750,29320,Forgot to record acclimation
14,Right,2022/8/9,1130,4-8,Bighead,Carbon dioxide,6,2,16.7,NA,7.47,6.326,2730,42270,
15,Left,2022/8/9,1234,4-8,Bighead,Carbon dioxide,7,2,17.2,NA,7.633,6.467,2490,25330,
16,Right,2022/8/9,1308,4-8,Bighead,Carbon dioxide,8,2,16.3,NA,7.282,6.439,4670,37620,
17,Right,2022/8/15,1050,9-12,Bighead,Air,1,1,17.2,232,7.972,7.987,1360,1120,
18,Left,2022/8/15,1137,9-12,Bighead,Air,2,1,16.9,NA,7.99,8.002,1300,1710,
19,Right,2022/8/15,1158,9-12,Bighead,Air,3,1,17.1,NA,7.993,8.004,NA,NA,
20,Left,2022/8/15,1221,9-12,Bighead,Air,4,1,17.1,NA,8.004,8.011,NA,NA,
21,Right,2022/8/16,1055,9-12,Bighead,Air,5,2,16.7,236,7.992,7.999,1640,1450,
22,Right,2022/8/16,1118,9-12,Bighead,Air,6,2,16.7,NA,8,8.006,1350,1540,
23,Left,2022/8/16,1154,9-12,Bighead,Air,7,2,16.7,NA,7.99,8.002,1680,1240,
24,Left,2022/8/16,1213,9-12,Bighead,Air,8,2,16.7,NA,8.008,8.108,1770,1740,
25,Right,2022/8/22,1126,13-17,Bighead,Carbon dioxide,1,1,18,232,7.978,6.401,1340,36040,
26,Left,2022/8/22,1153,13-17,Bighead,Carbon dioxide,2,1,17.1,NA,7.742,6.31,2170,37000,
27,Right,2022/8/22,1256,13-17,Bighead,Carbon dioxide,3,1,16.7,NA,7.658,6.505,2340,36600,
28,Left,2022/8/22,1335,13-17,Bighead,Carbon dioxide,4,1,15.7,NA,7.453,6.41,3250,37320,
29,Right,2022/8/23,1014,13-17,Bighead,Carbon dioxide,5,2,18.2,240,7.826,6.32,1650,35980,
30,Left,2022/8/23,1034,13-17,Bighead,Carbon dioxide,6,2,17.1,NA,7.765,6.398,1900,44550,
31,Right,2022/8/23,1137,13-17,Bighead,Carbon dioxide,7,2,16.7,NA,7.667,6.354,2120,37770,
32,Left,2022/8/23,1158,13-17,Bighead,Carbon dioxide,8,2,15.9,NA,7.491,6.374,2980,46780,
33,Right,2022/8/29,1014,18-20,Bighead,Air,1,1,17.7,222,7.932,7.94,1440,1730,
34,Right,2022/8/29,1035,18-20,Bighead,Air,2,1,17.7,NA,7.941,7.944,1560,1410,
35,Left,2022/8/29,1107,18-20,Bighead,Air,3,1,17.3,NA,7.951,7.957,NA,NA,
36,Left,2022/8/29,1135,18-20,Bighead,Air,4,1,17.3,NA,7.963,7.961,NA,NA,
37,Left,2022/8/30,955,18-20,Bighead,Air,5,2,17.4,239,8.033,8.048,1280,1350,
38,Left,2022/8/30,1014,18-20,Bighead,Air,6,2,16.8,NA,8.05,8.053,1410,1360,
39,Right,2022/8/30,1035,18-20,Bighead,Air,7,2,16.9,NA,8.001,8.005,1390,1450,
40,Right,2022/8/30,1055,18-20,Bighead,Air,8,2,17,NA,8.021,8.024,1490,1580,
