"VID_ID","Day","Fish_ID","Sound","Speaker","TrainedWith","DistanceMoved_cm","Velocity","RightDistance_cm","LeftDistance_cm","NotMoving_per","Accel_mean","Accel_max","Accel_sd","TimeToRight_s","InRight_per","TimeToLeft_s","InLeft_per","HeadingToLeft_deg","HeadingToRight_deg"
"1","Day 1","1","Acclimation","Left","Air","2717.25","10.6041","101.527","91.2045","0","-0.0309569","11.0324","2.74096","22.9163","42.9577","8.3332","53.5211","127.291","122.807"
"3","Day 1","1","Acclimation","Right","Air","2740.73","10.3588","90.9481","114.967","0","0.00197284","10.465","3.1692","0","60.5634","33.3328","38.7324","98.3469","91.966"
"5","Day 1","1","Acclimation","Left","Air","2248.55","8.99434","69.8462","119.423","0","0.119993","7.20428","2.42105","12.4998","71.831","0","28.169","168.824","143.476"
"7","Day 1","2","Acclimation","Right","Air","1088.69","5.74263","42.2713","128.134","9.85915","-0.0158649","9.3604","2.00073","0","76.0563","","0","143.413","128.223"
"9","Day 1","2","Acclimation","Left","Air","2667.23","10.1031","113.084","85.5123","2.02703","-0.176322","8.69927","3.29836","0","43.2432","104","55.4054","139.254","42.4862"
"11","Day 1","2","Acclimation","Right","Air","670.078","4.92704","97.5572","60.2732","23.6486","-0.0519132","9.30125","1.81933","0","6.75676","20","56.7568","135.931","2.07245"
"13","Day 1","3","Acclimation","Left","Air","1782.7","7.19084","77.0607","100.592","0","-0.00590159","7.13883","2.08706","6.2499","55.6338","0","44.3662","-172.74","162.086"
"15","Day 1","3","Acclimation","Right","Air","2013.78","7.37885","107.335","96.7635","0","0.0249775","8.524","2.6591","0","42.9577","18.7497","57.0423","-125.236","-104.762"
"17","Day 1","3","Acclimation","Left","Air","1731.91","6.5459","61.7765","119.612","9.15493","0.0464819","7.08952","1.90494","0","75.3521","137.498","23.9437","-82.371","-91.4494"
"144","Day 1","9","Acclimation","Left","Air","8232.48","30.1883","79.1512","108.845","0.346741","-4.54766","3234.61","344.678","7.91654","61.7198","0","33.9112","123.386","105.669"
"146","Day 1","9","Acclimation","Right","Air","987.787","8.20321","72.6916","101.024","9.57004","0.168221","156.288","32.7941","0","35.853","44.3743","16.6436","112.787","66.9886"
"148","Day 1","9","Acclimation","Left","Air","2389.18","12.6442","129.706","60.9699","0.762829","1.21077","1253.1","82.6478","171.039","13.0374","0","62.4827","97.7592","55.6647"
"150","Day 1","11","Acclimation","Right","Air","4396.69","14.9571","129.518","70.245","0.0693481","0.0978781","3400.66","141.333","0","24.6879","3.95827","73.9251","-176.601","24.1288"
"152","Day 1","11","Acclimation","Left","Air","2998.59","13.1447","110.197","89.9506","0.554785","-1.2493","323.744","38.6266","26.0412","34.7434","0","50.9709","-108.357","-89.1984"
"154","Day 1","11","Acclimation","Right","Air","3856.34","15.4643","129.844","73.0515","0.208044","1.76493","1565.93","106.1","76.8738","20.8044","2.91662","70.4577","104.716","70.7051"
"156","Day 1","10","Acclimation","Left","Air","20269.3","71.6662","119.922","84.3275","0.0554939","1.92645","8153.52","980.204","6.16657","37.0144","0","57.1032","128.462","117.026"
"158","Day 1","10","Acclimation","Right","Air","17104.4","61.2706","88.6901","98.3983","1.49834","7.92138","7637.64","1007.93","0","58.879","3.66661","36.1265","130.309","101.829"
"160","Day 1","10","Acclimation","Left","Air","16296.2","58.2015","65.8883","123.099","0.443951","-5.20781","8016.17","922.094","8.83319","72.475","0","25.0277","142.68","136.175"
"162","Day 1","12","Acclimation","Right","Air","3107.81","10.4393","60.3144","179.562","0.485437","-0.0645185","317.533","38.8482","0","95.215","9.58318","4.57698","-77.4986","47.4365"
"164","Day 1","12","Acclimation","Left","Air","18786.1","67.1944","109.794","79.9259","13.3148","7.41884","5351.83","621.541","0.62499","33.9112","0","62.4133","-156.843","-138.391"
"166","Day 1","12","Acclimation","Right","Air","5464.63","19.1325","146.998","64.5345","4.92372","1.25201","3368.49","223.476","0.20833","16.7129","0","80.6519","70.4612","47.4252"
"306","Day 1","18","Acclimation","Right","Air","2733.62","9.25357","108.108","97.0269","11.0957","0.0764512","184.681","22.5083","0","43.2732","44.7909","55.6865","97.1116","93.1373"
"308","Day 1","18","Acclimation","Left","Air","3574.19","13.7581","107.417","99.933","3.19001","-1.05356","3383.06","165.733","61.874","41.7476","0","49.3065","100.885","95.1723"
"310","Day 1","18","Acclimation","Right","Air","3106.34","10.6963","59.899","176.028","0.278746","0.0615189","541.104","39.3835","0","90.0348","6.2499","8.36237","154.517","143.621"
"312","Day 1","19","Acclimation","Left","Air","7644","25.8611","107.778","98.394","0.888642","0.372119","82695.2","3419.09","5.54158","46.2927","0","51.2774","-93.2223","0.507057"
"314","Day 1","19","Acclimation","Right","Air","6186.96","25.0827","79.6513","145.075","1.20226","-1.02764","3268.35","276.827","0","75.1768","177.289","22.2772","27.7637","34.7861"
"316","Day 1","19","Acclimation","Left","Air","6636.5","23.2693","104.615","88.9531","2.56588","-4.61014","3178.36","287.211","41.666","47.5728","0.20833","51.5257","139.702","64.5599"
"318","Day 1","20","Acclimation","Right","Air","4953.39","16.6971","127.276","72.3487","0.416089","-0.0631511","5620.57","218.112","0","27.1151","16.4581","71.4979","134.42","-112.979"
"320","Day 1","20","Acclimation","Left","Air","4731.56","18.1986","110.152","77.8011","0.277393","-0.641736","2162.88","171.358","0.41666","32.3162","0","60.4022","134.847","153.532"
"322","Day 1","20","Acclimation","Right","Air","4291.25","14.6191","152.456","65.2351","0.554785","1.1676","2443.99","174.59","0","8.11373","25.8329","91.4008","140.169","74.9759"
"2","Day 1","1","Sound","Left","Air","2559.78","10.5924","126.653","56.891","0","0.152843","11.512","3.39075","0","26.4286","43.7493","71.4286","-127.705","-150.531"
"4","Day 1","1","Sound","Right","Air","2226.21","7.68776","21.6529","140.076","0","-0.0130927","6.59187","1.91204","0","100","","0","92.9556","151.966"
"6","Day 1","1","Sound","Left","Air","2244.42","8.68823","111.428","43.7716","4.96454","0.010135","6.85295","1.9336","6.2499","21.9858","0","71.6312","141.871","165.809"
"8","Day 1","2","Sound","Right","Air","1591.77","6.3672","49.4856","133.414","11.2676","-0.00201008","5.55613","1.92717","0","97.8873","","0","22.0388","65.3236"
"10","Day 1","2","Sound","Left","Air","2220.11","9.32819","120.044","57.8309","11.0345","-0.0614561","33.0916","5.27368","12","8.96552","0","86.2069","131.314","66.0917"
"12","Day 1","2","Sound","Right","Air","333.184","1.33276","44.4214","106.574","71.8519","-0.0146429","1.38371","0.347193","0","95.5556","","0","-12.6812","15.0771"
"14","Day 1","3","Sound","Left","Air","1991.49","6.68286","183.192","57.5047","4.66667","0.00236239","20.4992","3.42583","","0","0","100","-138.228","-140.221"
"16","Day 1","3","Sound","Right","Air","1204.25","4.85758","48.5206","122.701","17.9856","-0.0252837","10.3124","2.21367","0","93.5252","220.83","6.47482","-3.23189","23.3884"
"18","Day 1","3","Sound","Left","Air","1900.57","6.51635","189.839","55.5549","0","-0.0355473","33.1565","4.29509","91.6652","0.70922","0","99.2908","-158.407","-151.105"
"145","Day 1","9","Sound","Left","Air","1939.82","12.4316","115.674","60.4378","5.84958","-4.20612","130.204","103.044","13.7498","15.4596","0","47.0752","114.213","85.3055"
