VID_ID,Date,Time,Fish_ID,Sound,TrainedWith,Speaker,Days_Since_Train,Fish_TrialNum,Temp_C,pH,Exit_s,Return_s,Exit_N,Return_N,Notes
1,8/3/2022,1001,1,Acclimation,Air,Left,1,1,18.1,7.933,12,43,3,2,
2,8/3/2022,1007,1,Sound,Air,Left,1,1,18.1,NA,1,49,5,5,
3,8/3/2022,1023,1,Acclimation,Air,Right,1,2,18.2,7.92,35,34,3,2,
4,8/3/2022,1029,1,Sound,Air,Right,1,2,18.2,NA,NA,NA,0,NA,swims in circles around speaker
5,8/3/2022,1047,1,Acclimation,Air,Left,1,3,18,7.931,13,58,4,4,
6,8/3/2022,1053,1,Sound,Air,Left,1,3,18,NA,8,79,2,2,
7,8/3/2022,1117,2,Acclimation,Air,Right,1,1,18.3,7.92,46,2,3,3,hovering around shuttle
8,8/3/2022,1124,2,Sound,Air,Right,1,1,18.3,NA,100,5,4,4,
9,8/3/2022,1145,2,Acclimation,Air,Left,1,2,18.2,7.923,2,105,2,1,
10,8/3/2022,1152,2,Sound,Air,Left,1,2,18.2,NA,8,8,5,5,
11,8/3/2022,1208,2,Acclimation,Air,Right,1,3,18,7.919,22,NA,1,NA,
12,8/3/2022,1214,2,Sound,Air,Right,1,3,18,NA,38,5,2,2,
13,8/3/2022,1249,3,Acclimation,Air,Left,1,1,19.3,7.88,6,14,4,3,
14,8/3/2022,1257,3,Sound,Air,Left,1,1,19.3,NA,NA,NA,0,NA,"No shuttling. Error with right side cam, only 2 minutes. "
15,8/3/2022,1316,3,Acclimation,Air,Right,1,2,18.8,7.83,20,17,3,2,
16,8/3/2022,1322,3,Sound,Air,Right,1,2,18.8,NA,16,4,2,2,
17,8/3/2022,1339,3,Acclimation,Air,Left,1,3,18.4,7.8,2,142,3,2,
18,8/3/2022,1349,3,Sound,Air,Left,1,3,18.4,NA,NA,NA,0,NA,"Less active, hugging speaker wall by bubblers"
19,8/5/2022,1015,1,Acclimation,Air,Right,3,4,17.4,7.86,20,19,3,3,
20,8/5/2022,1021,1,Sound,Air,Right,3,4,17.4,NA,3,31,4,4,
21,8/5/2022,1039,1,Acclimation,Air,Left,3,5,17.8,7.86,29,20,2,1,
22,8/5/2022,1045,1,Sound,Air,Left,3,5,17,NA,181,4,2,2,
23,8/5/2022,1102,1,Acclimation,Air,Right,3,6,16.9,7.82,97,46,2,1,
24,8/5/2022,1108,1,Sound,Air,Right,3,6,16.9,NA,8,286,1,1,
25,8/5/2022,1127,2,Acclimation,Air,Left,3,4,17.1,7.873,22,31,5,4,
26,8/5/2022,1133,2,Sound,Air,Left,3,4,17.1,NA,191,8,2,2,
27,8/5/2022,1150,2,Acclimation,Air,Right,3,5,17.1,7.872,58,Inf,1,0,
28,8/5/2022,1201,2,Sound,Air,Right,3,5,17.1,NA,NA,NA,0,NA,
29,8/5/2022,1217,2,Acclimation,Air,Left,3,6,17.2,7.873,21,7,3,3,
30,8/5/2022,1223,2,Sound,Air,Left,3,6,17.2,NA,3,27,1,1,
31,8/5/2022,1310,3,Acclimation,Air,Right,3,4,17.3,7.872,95,Inf,1,0,
32,8/5/2022,1318,3,Sound,Air,Right,3,4,17.3,NA,49,13,3,3,
33,8/5/2022,1334,3,Acclimation,Air,Left,3,5,17.3,7.866,14,64,2,1,
34,8/5/2022,1341,3,Sound,Air,Left,3,5,17.3,NA,66,3,1,1,
35,8/5/2022,1358,3,Acclimation,Air,Right,3,6,17.1,7.863,Inf,NA,0,0,
36,8/5/2022,1403,3,Sound,Air,Right,3,6,17.1,NA,Inf,NA,0,0,5s delay after light
37,8/9/2022,1428,3,Acclimation,Air,Left,7,7,17.2,7.709,NA,NA,0,NA,
38,8/9/2022,1435,3,Sound,Air,Left,7,7,17.2,NA,NA,NA,0,NA,
39,8/9/2022,1444,3,Acclimation,Air,Right,7,8,17.2,7.711,225,NA,1,NA,
40,8/9/2022,1451,3,Sound,Air,Right,7,8,17.2,NA,NA,NA,0,NA,
41,8/9/2022,1500,3,Acclimation,Air,Left,7,9,17.2,7.713,NA,NA,0,NA,
42,8/9/2022,1505,3,Sound,Air,Left,7,9,17.2,NA,NA,NA,0,NA,
43,8/9/2022,1516,2,Acclimation,Air,Right,7,7,16.8,7.711,58,220,2,1,
44,8/9/2022,1549,2,Acclimation,Air,Right,7,8,17.2,7.712,NA,NA,0,NA,was supposed to be on left
45,8/9/2022,1600,2,Sound,Air,Left,7,8,17.2,NA,8,31,4,4,
46,8/9/2022,1608,2,Acclimation,Air,Right,7,9,16.8,7.714,19,53,1,1,
47,8/9/2022,1614,2,Sound,Air,Right,7,9,16.8,NA,NA,NA,0,NA,
48,8/9/2022,1621,1,Acclimation,Air,Left,7,7,16.6,7.756,NA,NA,0,NA,
49,8/9/2022,1628,1,Sound,Air,Left,7,7,16.9,NA,NA,NA,0,NA,
50,8/9/2022,1635,1,Acclimation,Air,Right,7,8,17,7.714,11,NA,1,NA,
51,8/9/2022,1641,1,Sound,Air,Right,7,8,17,7.709,7,NA,1,NA,
52,8/9/2022,1648,1,Acclimation,Air,Left,7,9,17.1,7.716,68,127,1,1,
53,8/9/2022,1658,1,Sound,Air,Left,7,9,17,7.712,NA,NA,0,NA,
54,8/10/2022,1000,4,Acclimation,CO2,Right,1,1,17.1,7.881,22,9,4,4,
55,8/10/2022,1008,4,Sound,CO2,Right,1,1,17.1,7.919,7,33,6,6,
56,8/10/2022,1026,4,Acclimation,CO2,Left,1,2,16.7,7.913,10,22,6,5,temp folder 
57,8/10/2022,1035,4,Sound,CO2,Left,1,2,16.5,7.917,1,NA,1,NA,sound is played 2 seconds in. ignore light
58,8/10/2022,1048,4,Acclimation,CO2,Right,1,3,16.8,7.906,111,23,3,3,
59,8/10/2022,1055,4,Sound,CO2,Right,1,3,16.9,7.912,14,7,1,1,
60,8/10/2022,1118,5,Acclimation,CO2,Left,1,1,17.1,7.912,53,38,4,4,
61,8/10/2022,1124,5,Sound,CO2,Left,1,1,17,7.904,6,32,5,5,
62,8/10/2022,1135,5,Acclimation,CO2,Right,1,2,16.8,7.899,6,20,4,3,
63,8/10/2022,1141,5,Sound,CO2,Right,1,2,16.8,7.909,5,23,3,3,
64,8/10/2022,1156,5,Acclimation,CO2,Left,1,3,16.7,7.911,5,32,4,3,
65,8/10/2022,1207,5,Sound,CO2,Left,1,3,16.6,7.893,0,33,5,4,"shuttled immediatley, fish undecisive"
66,8/10/2022,1228,6,Acclimation,CO2,Right,1,1,16.6,7.889,44,21,4,4,
67,8/10/2022,1234,6,Sound,CO2,Right,1,1,16.7,7.9,12,16,2,1,good avoidance 
68,8/10/2022,1248,6,Acclimation,CO2,Left,1,2,16.7,7.949,NA,NA,0,NA,
69,8/10/2022,1253,6,Sound,CO2,Left,1,2,16.7,7.878,108,39,2,1,
70,8/10/2022,1341,6,Acclimation,CO2,Right,1,3,16.7,7.86,153,32,1,1,
71,8/10/2022,1347,6,Sound,CO2,Right,1,3,16.7,7.857,NA,NA,0,NA,
72,8/10/2022,1410,7,Acclimation,CO2,Left,1,1,16.8,7.854,97,37,2,2,freeze affect on fish 7 + lack of reaction overall. 
73,8/10/2022,1415,7,Sound,CO2,Left,1,1,16.8,7.8511,NA,NA,0,NA,sound is played 1 second before light 
74,8/10/2022,1429,7,Acclimation,CO2,Right,1,2,16.8,7.871,50,42,1,1,
75,8/10/2022,1437,7,Sound,CO2,Right,1,2,16.8,7.869,NA,NA,0,NA,
76,8/10/2022,1451,7,Acclimation,CO2,Left,1,3,16.8,7.844,16,89,2,1,
77,8/10/2022,1458,7,Sound,CO2,Left,1,3,16.8,7.847,4,236,1,1,shuttle sitter + manic episode
78,8/10/2022,1515,8,Acclimation,CO2,Right,1,1,16.8,7.859,45,37,4,3,
79,8/10/2022,1523,8,Sound,CO2,Right,1,1,16.7,7.849,24,27,1,1,
80,8/10/2022,1542,8,Acclimation,CO2,Left,1,2,16.9,7.855,3,NA,1,NA,
81,8/10/2022,1553,8,Sound,CO2,Left,1,2,16.8,7.849,7,NA,1,NA,
82,8/10/2022,1609,8,Acclimation,CO2,Right,1,3,16.8,7.843,NA,NA,0,NA,
83,8/10/2022,1620,8,Sound,CO2,Right,1,3,16.9,7.84,145,7,1,1,
84,8/12/2022,1007,4,Acclimation,CO2,Right,3,4,NA,NA,6,33,5,4,
85,8/12/2022,1024,4,Sound,CO2,Right,3,4,18.8,7.862,NA,NA,0,NA,
86,8/12/2022,1100,4,Acclimation,CO2,Left,3,5,17.9,8.016,20,34,4,3,Unplugged pumps from now on
87,8/12/2022,1129,4,Sound,CO2,Left,3,5,17.9,7.99,1,15,3,3,
88,8/12/2022,1142,4,Acclimation,CO2,Right,3,6,17.9,7.978,39,43,2,2,
89,8/12/2022,1148,4,Sound,CO2,Right,3,6,17.9,7.985,8,39,1,1,Sound after 3s of light
90,8/12/2022,1204,5,Acclimation,CO2,Left,3,4,17.9,7.973,2,28,5,5,
91,8/12/2022,1210,5,Sound,CO2,Left,3,4,17.8,7.991,30,18,3,2,
92,8/12/2022,1223,5,Acclimation,CO2,Right,3,5,17.5,7.996,10,12,5,4,
93,8/12/2022,1310,5,Sound,CO2,Right,3,5,17.5,7.984,4,19,2,2,
94,8/12/2022,1323,5,Acclimation,CO2,Left,3,6,17.7,7.996,1,22,4,4,
95,8/12/2022,1329,5,Sound,CO2,Left,3,6,17.7,7.988,4,8,4,4,
96,8/12/2022,1341,6,Acclimation,CO2,Right,3,4,17.5,7.997,14,28,5,4,
97,8/12/2022,1347,6,Sound,CO2,Right,3,4,17.5,7.992,18,49,4,3,
