ID,Etho_Delay,Date,Time,FishID,Sound,TrainedWith,Speaker,Days_Since_Train,Fish_TrialNum,Temp_C,Start_pH,Delay_s,Exit_s,Return_s,Avoid_N,Return_N,Notes
1,,2022/8/3,1001,1,Acclimation,Air,Left,1,1,18.1,7.933,0,12,43,3,2,
2,,2022/8/3,1007,1,Sound,Air,Left,1,1,18.1,NA,,1,49,5,5,
3,,2022/8/3,1023,1,Acclimation,Air,Right,1,2,18.2,7.92,0,35,34,3,2,
4,,2022/8/3,1029,1,Sound,Air,Right,1,2,18.2,NA,,NA,NA,0,NA,swims in circles around speaker
5,,2022/8/3,1047,1,Acclimation,Air,Left,1,3,18,7.931,0,13,58,4,4,
6,,2022/8/3,1053,1,Sound,Air,Left,1,3,18,NA,,8,79,2,2,
7,,2022/8/3,1117,2,Acclimation,Air,Right,1,1,18.3,7.92,0,46,2,3,3,hovering around shuttle
8,,2022/8/3,1124,2,Sound,Air,Right,1,1,18.3,NA,,100,5,4,4,
9,,2022/8/3,1145,2,Acclimation,Air,Left,1,2,18.2,7.923,0,2,105,2,1,
10,,2022/8/3,1152,2,Sound,Air,Left,1,2,18.2,NA,,8,8,5,5,
11,,2022/8/3,1208,2,Acclimation,Air,Right,1,3,18,7.919,0,22,NA,1,NA,
12,,2022/8/3,1214,2,Sound,Air,Right,1,3,18,NA,,38,5,2,2,
13,,2022/8/3,1249,3,Acclimation,Air,Left,1,1,19.3,7.88,0,6,14,4,3,
14,,2022/8/3,1257,3,Sound,Air,Left,1,1,19.3,NA,,NA,NA,0,NA,"No shuttling. Error with right side cam, only 2 minutes. "
15,,2022/8/3,1316,3,Acclimation,Air,Right,1,2,18.8,7.83,0,20,17,3,2,
16,,2022/8/3,1322,3,Sound,Air,Right,1,2,18.8,NA,,16,4,2,2,
17,,2022/8/3,1339,3,Acclimation,Air,Left,1,3,18.4,7.8,0,2,142,3,2,
18,,2022/8/3,1349,3,Sound,Air,Left,1,3,18.4,NA,,NA,NA,0,NA,"Less active, hugging speaker wall by bubblers"
19,,2022/8/5,1015,1,Acclimation,Air,Right,3,4,17.4,7.86,0,20,19,3,3,
20,,2022/8/5,1021,1,Sound,Air,Right,3,4,17.4,NA,,3,31,4,4,
21,,2022/8/5,1039,1,Acclimation,Air,Left,3,5,17.8,7.86,0,29,20,2,1,
22,,2022/8/5,1045,1,Sound,Air,Left,3,5,17,NA,,181,4,2,2,
23,,2022/8/5,1102,1,Acclimation,Air,Right,3,6,16.9,7.82,0,97,46,2,1,
24,,2022/8/5,1108,1,Sound,Air,Right,3,6,16.9,NA,,8,286,1,1,
25,,2022/8/5,1127,2,Acclimation,Air,Left,3,4,17.1,7.873,0,22,31,5,4,
26,,2022/8/5,1133,2,Sound,Air,Left,3,4,17.1,NA,,191,8,2,2,
27,,2022/8/5,1150,2,Acclimation,Air,Right,3,5,17.1,7.872,0,58,Inf,1,0,
28,,2022/8/5,1201,2,Sound,Air,Right,3,5,17.1,NA,,NA,NA,0,NA,
29,,2022/8/5,1217,2,Acclimation,Air,Left,3,6,17.2,7.873,0,21,7,3,3,
30,,2022/8/5,1223,2,Sound,Air,Left,3,6,17.2,NA,,3,27,1,1,
31,,2022/8/5,1310,3,Acclimation,Air,Right,3,4,17.3,7.872,0,95,Inf,1,0,
32,,2022/8/5,1318,3,Sound,Air,Right,3,4,17.3,NA,,49,13,3,3,
33,,2022/8/5,1334,3,Acclimation,Air,Left,3,5,17.3,7.866,0,14,64,2,1,
34,,2022/8/5,1341,3,Sound,Air,Left,3,5,17.3,NA,,66,3,1,1,
35,,2022/8/5,1358,3,Acclimation,Air,Right,3,6,17.1,7.863,0,Inf,NA,0,0,
36,,2022/8/5,1403,3,Sound,Air,Right,3,6,17.1,NA,,Inf,NA,0,0,5s delay after light
37,,2022/8/9,1428,3,Acclimation,Air,Left,7,7,17.2,7.709,0,NA,NA,0,NA,
38,,2022/8/9,1435,3,Sound,Air,Left,7,7,17.2,NA,10,NA,NA,0,NA,
39,,2022/8/9,1444,3,Acclimation,Air,Right,7,8,17.2,7.711,0,225,NA,1,NA,
40,,2022/8/9,1451,3,Sound,Air,Right,7,8,17.2,NA,2,NA,NA,0,NA,
41,,2022/8/9,1500,3,Acclimation,Air,Left,7,9,17.2,7.713,0,NA,NA,0,NA,
42,,2022/8/9,1505,3,Sound,Air,Left,7,9,17.2,NA,5,NA,NA,0,NA,
43,,2022/8/9,1516,2,Acclimation,Air,Right,7,7,16.8,7.711,0,58,220,2,1,
44,,2022/8/9,1549,2,Acclimation,Air,Right,7,8,17.2,7.712,0,NA,NA,0,NA,was supposed to be on left
45,,2022/8/9,1600,2,Sound,Air,Left,7,8,17.2,NA,1,8,31,4,4,
46,,2022/8/9,1608,2,Acclimation,Air,Right,7,9,16.8,7.714,0,19,53,1,1,
47,,2022/8/9,1614,2,Sound,Air,Right,7,9,16.8,NA,1,NA,NA,0,NA,
48,,2022/8/9,1621,1,Acclimation,Air,Left,7,7,16.6,7.756,0,NA,NA,0,NA,
49,,2022/8/9,1628,1,Sound,Air,Left,7,7,16.9,NA,5,NA,NA,0,NA,
50,,2022/8/9,1635,1,Acclimation,Air,Right,7,8,17,7.714,0,11,NA,1,NA,
51,,2022/8/9,1641,1,Sound,Air,Right,7,8,17,7.709,0,7,NA,1,NA,
52,,2022/8/9,1648,1,Acclimation,Air,Left,7,9,17.1,7.716,0,68,127,1,1,
53,,2022/8/9,1658,1,Sound,Air,Left,7,9,17,7.712,1,NA,NA,0,NA,
54,,2022/8/10,1000,4,Acclimation,CO2,Right,1,1,17.1,7.881,0,22,9,4,4,
55,,2022/8/10,1008,4,Sound,CO2,Right,1,1,17.1,7.919,3,7,33,6,6,
56,,2022/8/10,1026,4,Acclimation,CO2,Left,1,2,16.7,7.913,0,10,22,6,5,temp folder 
57,,2022/8/10,1035,4,Sound,CO2,Left,1,2,16.5,7.917,2,1,NA,1,NA,sound is played 2 seconds in. ignore light
58,,2022/8/10,1048,4,Acclimation,CO2,Right,1,3,16.8,7.906,0,111,23,3,3,
59,,2022/8/10,1055,4,Sound,CO2,Right,1,3,16.9,7.912,5,14,7,1,1,
60,,2022/8/10,1118,5,Acclimation,CO2,Left,1,1,17.1,7.912,0,53,38,4,4,
61,,2022/8/10,1124,5,Sound,CO2,Left,1,1,17,7.904,9,6,32,5,5,
62,,2022/8/10,1135,5,Acclimation,CO2,Right,1,2,16.8,7.899,0,6,20,4,3,
63,,2022/8/10,1141,5,Sound,CO2,Right,1,2,16.8,7.909,3,5,23,3,3,
64,,2022/8/10,1156,5,Acclimation,CO2,Left,1,3,16.7,7.911,0,5,32,4,3,
65,,2022/8/10,1207,5,Sound,CO2,Left,1,3,16.6,7.893,3,0,33,5,4,"shuttled immediatley, fish undecisive"
66,,2022/8/10,1228,6,Acclimation,CO2,Right,1,1,16.6,7.889,0,44,21,4,4,
67,,2022/8/10,1234,6,Sound,CO2,Right,1,1,16.7,7.9,1,12,16,2,1,good avoidance 
68,,2022/8/10,1248,6,Acclimation,CO2,Left,1,2,16.7,7.949,0,NA,NA,0,NA,
69,,2022/8/10,1253,6,Sound,CO2,Left,1,2,16.7,7.878,7,108,39,2,1,
70,,2022/8/10,1341,6,Acclimation,CO2,Right,1,3,16.7,7.86,0,153,32,1,1,
71,,2022/8/10,1347,6,Sound,CO2,Right,1,3,16.7,7.857,6,NA,NA,0,NA,
72,,2022/8/10,1410,7,Acclimation,CO2,Left,1,1,16.8,7.854,0,97,37,2,2,freeze affect on fish 7 + lack of reaction overall. 
73,,2022/8/10,1415,7,Sound,CO2,Left,1,1,16.8,7.8511,3,NA,NA,0,NA,sound is played 1 second before light 
74,,2022/8/10,1429,7,Acclimation,CO2,Right,1,2,16.8,7.871,0,50,42,1,1,
75,,2022/8/10,1437,7,Sound,CO2,Right,1,2,16.8,7.869,3,NA,NA,0,NA,
76,,2022/8/10,1451,7,Acclimation,CO2,Left,1,3,16.8,7.844,0,16,89,2,1,
77,,2022/8/10,1458,7,Sound,CO2,Left,1,3,16.8,7.847,7,4,236,1,1,shuttle sitter + manic episode
78,,2022/8/10,1515,8,Acclimation,CO2,Right,1,1,16.8,7.859,0,45,37,4,3,
