VID_ID,School_ID,Stopped_Sound_On_Return,Trained,Species,Trial,Days_Since_Train,Side,Date,Temp,Time,Frequency_Hz,First_Exit_s,First_Quiet_Side_s,Angle,Avoids_N,Returns_N,First_Return_s,Quiet_Chamber_%,Notes
1,1,FALSE,1 day,S,1,5,L,10/26/2021,NR,1215,Acclimation,84,14,63,,20,NA,0.517,"7 days since start of training, 5 days since end of training....."
2,1,FALSE,1 day,S,1,5,L,10/26/2021,NR,1230,2000,1,10,323,,26,11,0.748,"7 days since start of training, 5 days since end of training....."
3,2,FALSE,1 day,S,1,5,R,10/26/2021,NR,1245,Acclimation,14,10,135,,47,NA,0.682,
4,2,FALSE,1 day,S,1,5,R,10/26/2021,NR,1300,2000,7,13,176,,49,20,0.443,
5,2,FALSE,1 day,S,2,7,L,10/28/2021,NR,1535,Acclimation,6,10,158,,62,NA,0.599,
6,2,FALSE,1 day,S,2,7,L,10/28/2021,NR,1550,2000,7,15,66,,38,22,0.655,"In the video, there was a weird timeskip at 4:09"
7,3,FALSE,1 day,S,1,1,R,10/29/2021,NR,915,Acclimation,12,19,136,,24,31,0.311,
8,3,FALSE,1 day,S,1,1,R,10/29/2021,NR,930,2000,25,18,154,,20,43,0.419,
9,4,FALSE,1 day,S,1,1,L,10/29/2021,NR,945,Acclimation,9,55,253,,19,64,0.797,
10,4,FALSE,1 day,S,1,1,L,10/29/2021,NR,1000,2000,19,68,157,,16,87,0.478,
11,1,FALSE,1 day,S,2,8,R,10/29/2021,NR,1030,Acclimation,5,35,45,,21,40,0.413,"10 days since start, 8 since end of training / time skip at 2:05"
12,1,FALSE,1 day,S,2,8,R,10/29/2021,NR,1045,2000,8,22,226,,22,30,0.507,"10 days since start, 8 since end of training"
13,3,FALSE,1 day,S,2,5,L,11/2/2021,NR,1030,Acclimation,20,64,290,,23,NA,0.388,
14,3,FALSE,1 day,S,2,5,L,11/2/2021,NR,1045,2000,15,24,227,,19,39,0.232,
15,4,FALSE,1 day,S,2,5,R,11/2/2021,NR,1145,Acclimation,9,11,24,,46,20,0.6,
16,4,FALSE,1 day,S,2,5,R,11/2/2021,NR,1200,2000,31,14,151,,29,45,0.537,
17,2,FALSE,1 day,S,3,12,R,11/2/2021,NR,1215,Acclimation,1,16,62,,47,17,0.562,
18,2,FALSE,1 day,S,3,12,R,11/2/2021,NR,1230,2000,2,35,342,,41,37,0.602,
19,1,FALSE,1 day,S,3,13,L,11/2/2021,NR,1245,Acclimation,31,49,272,,38,80,0.428,
20,1,FALSE,1 day,S,3,13,L,11/2/2021,NR,1300,2000,7,19,117,,40,26,0.493,
21,3,FALSE,1 day,S,3,7,R,11/4/2021,NR,1100,Acclimation,64,12,234,,9,76,0.112,Started acclimation video when they entered R side
22,3,FALSE,1 day,S,3,7,R,11/4/2021,NR,1115,2000,Inf,NA,205,,8,NA,0.073,
23,4,FALSE,1 day,S,3,7,L,11/4/2021,NR,1125,Acclimation,4,11,282,,69,15,0.483,
24,4,FALSE,1 day,S,3,7,L,11/4/2021,NR,1140,2000,11,22,318,,41,33,0.478,
25,1,FALSE,1 day,S,4,15,R,11/4/2021,NR,1245,Acclimation,6,9,173,,53,15,0.545,Started acclimation video when they entered R side / Good schooling figure 8 behavior example
26,1,FALSE,1 day,S,4,15,R,11/4/2021,NR,1300,2000,7,6,166,,62,13,0.602,
27,2,FALSE,1 day,S,4,14,L,11/4/2021,NR,1315,Acclimation,21,30,186,,36,51,0.499,Started acclimation video when they entered L side
28,2,FALSE,1 day,S,4,14,L,11/4/2021,NR,1330,2000,39,9,248,,8,48,0.05,Lots of jumping on left side... Avoidance behavior? 
29,3,FALSE,1 day,S,4,10,L,11/7/2021,NR,1015,Acclimation,1,13,357,,46,14,0.557,
