VID_ID,School_ID,Stopped_Sound_On_Return,Trained,Species,Trial,Days_Since_Train,Speaker,Date,Temp,Time,Frequency_Hz,Exit_s,Return_s,Angle,Exit_N,Return_N,Notes
1,1,FALSE,1 day,Silver,1,5,Left,10/26/2021,NR,1215,Acclimation,84,14,63,NR,20,"7 days since start of training, 5 days since end of training....."
2,1,FALSE,1 day,Silver,1,5,Left,10/26/2021,NR,1230,2000,1,10,323,NR,26,"7 days since start of training, 5 days since end of training....."
3,2,FALSE,1 day,Silver,1,5,Right,10/26/2021,NR,1245,Acclimation,14,10,135,NR,47,
4,2,FALSE,1 day,Silver,1,5,Right,10/26/2021,NR,1300,2000,7,13,176,NR,49,
5,2,FALSE,1 day,Silver,2,7,Left,10/28/2021,NR,1535,Acclimation,6,10,158,NR,62,
6,2,FALSE,1 day,Silver,2,7,Left,10/28/2021,NR,1550,2000,7,15,66,NR,38,"In the video, there was a weird timeskip at 4:09"
7,3,FALSE,1 day,Silver,1,1,Right,10/29/2021,NR,915,Acclimation,12,19,136,NR,24,
8,3,FALSE,1 day,Silver,1,1,Right,10/29/2021,NR,930,2000,25,18,154,NR,20,
9,4,FALSE,1 day,Silver,1,1,Left,10/29/2021,NR,945,Acclimation,9,55,253,NR,19,
10,4,FALSE,1 day,Silver,1,1,Left,10/29/2021,NR,1000,2000,19,68,157,NR,16,
11,1,FALSE,1 day,Silver,2,8,Right,10/29/2021,NR,1030,Acclimation,5,35,45,NR,21,"10 days since start, 8 since end of training / time skip at 2:05"
12,1,FALSE,1 day,Silver,2,8,Right,10/29/2021,NR,1045,2000,8,22,226,NR,22,"10 days since start, 8 since end of training"
13,3,FALSE,1 day,Silver,2,5,Left,11/2/2021,NR,1030,Acclimation,20,64,290,NR,23,
14,3,FALSE,1 day,Silver,2,5,Left,11/2/2021,NR,1045,2000,15,24,227,NR,19,
15,4,FALSE,1 day,Silver,2,5,Right,11/2/2021,NR,1145,Acclimation,9,11,24,NR,46,
16,4,FALSE,1 day,Silver,2,5,Right,11/2/2021,NR,1200,2000,31,14,151,NR,29,
17,2,FALSE,1 day,Silver,3,12,Right,11/2/2021,NR,1215,Acclimation,1,16,62,NR,47,
18,2,FALSE,1 day,Silver,3,12,Right,11/2/2021,NR,1230,2000,2,35,342,NR,41,
19,1,FALSE,1 day,Silver,3,13,Left,11/2/2021,NR,1245,Acclimation,31,49,272,NR,38,
20,1,FALSE,1 day,Silver,3,13,Left,11/2/2021,NR,1300,2000,7,19,117,NR,40,
21,3,FALSE,1 day,Silver,3,7,Right,11/4/2021,NR,1100,Acclimation,64,12,234,NR,9,Started acclimation video when they entered R side
22,3,FALSE,1 day,Silver,3,7,Right,11/4/2021,NR,1115,2000,Inf,NA,205,NR,8,
23,4,FALSE,1 day,Silver,3,7,Left,11/4/2021,NR,1125,Acclimation,4,11,282,NR,69,
24,4,FALSE,1 day,Silver,3,7,Left,11/4/2021,NR,1140,2000,11,22,318,NR,41,
