dB_65_cm,RMS_65_cm,X_cm,Y_cm,Circle,Side,Position,Depth,Ambient,PA,X_acc_ms^-2,Y_acc_ms^-2,Z_acc_ms^-2,X_RMS_V,Y_RMS_V,Z_RMS_V
106,1.138754471,77,77,Center,L,0,Bottom,TRUE,-46.98295428,0.003175144228,0.003154119122,3.29E-05,0.003267223411,0.003264513291,3.40E-05
157,439.0047371,77,77,Center,L,0,Bottom,FALSE,2.820543079,1.288887952,0.50322927,0.004843839368,1.326265703,0.5208422945,0.005013373746
101,0.646134843,77,77,Center,L,0,Middle,TRUE,-35.07656523,0.01671315362,0.005600026584,0.0001085787711,0.01719783507,0.005796027514,0.0001123790281
157,406.7803993,77,77,Center,L,0,Middle,FALSE,-6.577231455,0.4620347308,0.08030266375,0.001237357693,0.475433738,0.08311325698,0.001280665212
95,0.3529983885,77,77,Center,L,0,Top,TRUE,-50.18011202,0.002641782471,0.001614543539,8.94E-05,0.002718394163,0.001671052563,9.25E-05
156,362.9730806,77,77,Center,L,0,Top,FALSE,-5.600423691,0.522820223,0.04532616356,0.0007450432528,0.5379820095,0.04691257928,0.0007711197666
106,1.169163698,357.5,143.6839561,Outer,R,1,Bottom,TRUE,-11.00048905,0.2484616132,0.1330057971,0.0004048309179,0.255667,0.137661,0.000419
93,0.2633839514,338.25,43.65802195,Inner,R,5,Top,TRUE,-12.44635315,0.1608172983,0.1762676329,0.0007739130435,0.165481,0.182437,0.000801
101,0.7060180633,299.75,43.65802195,Inner,R,7,Bottom,TRUE,-18.06908502,0.1127813411,0.05365700483,0.0003256038647,0.116052,0.055535,0.000337
102,0.76770873,385.6839561,115.5,Outer,R,2,Top,TRUE,-22.93908268,0.0649776482,0.0293352657,0.0001236714976,0.066862,0.030362,0.000128
100,0.5794824905,252.3160439,115.5,Outer,R,10,Bottom,TRUE,-27.21661721,0.0354324587,0.02535169082,0.0001285024155,0.03646,0.026239,0.000133
100,0.5901552088,252.3160439,115.5,Outer,R,10,Top,TRUE,-30.75743768,0.0274548105,0.009283091787,0.0001140096618,0.028251,0.009608,0.000118
109,1.759654897,96.25,110.341978,Inner,L,1,Bottom,TRUE,-43.89430291,0.005610301263,0.003052173913,1.60E-05,0.005773,0.003159,1.66E-05
150,185.3162547,96.25,110.341978,Inner,L,1,Bottom,FALSE,-14.71948961,0.1651584062,0.08033816425,0.001084057971,0.169948,0.08315,0.001122
119,5.231345917,252.3160439,115.5,Outer,R,10,Top,FALSE,-31.10959286,0.02639164237,0.008831884058,0.000115942029,0.027157,0.009141,0.00012
114,3.073327445,338.25,43.65802195,Inner,R,5,Middle,FALSE,-32.90476527,0.02002137998,0.01055652174,5.61E-05,0.020602,0.010926,5.81E-05
108,1.438462323,115.5,143.6839561,Outer,L,1,Bottom,TRUE,-29.13760027,0.03206882121,0.01382914923,9.32E-05,0.03299881702,0.01431316945,9.65E-05
135,33.10557164,115.5,143.6839561,Outer,L,1,Bottom,FALSE,-19.4859259,0.09602576015,0.04511263151,0.0007130458224,0.09881050719,0.04669157361,0.0007380024262
