dB,dB_2,X_cm,Y_cm,Side,Position,Depth,Ambient,RMS,RMS_2,PA,X_acc_ms^-2,Y_acc_ms^-2,Z_acc_ms^-2,X_RMS_V,Y_RMS_V,Z_RMS_V
98,93,37.5,25,L,14,Bottom,TRUE,0.479007165,0.2642720393,-56.12869649,0.001183673469,0.001018357488,2.02E-05,0.001218,0.001054,2.09E-05
88,94,50,25,L,3,Top,TRUE,0.1532287383,0.3005934079,-56.11828179,0.001145772595,0.001063768116,0,0.001179,0.001101,0
101,85,85,12.5,R,15,Top,TRUE,0.7012246811,0.1083580135,-56.10867691,0.001176870748,0.001031884058,0,0.001211,0.001068,0
90,89,85,12.5,R,15,Bottom,TRUE,0.1897889701,0.1651068502,-56.09703922,0.001178814383,0.001032850242,0,0.001213,0.001069,0
89,90,60,25,R,9,Top,TRUE,0.1638273122,0.1919639438,-56.06780282,0.001161321672,0.001058937198,5.44E-05,0.001195,0.001096,5.63E-05
103,94,63.34936491,37.5,R,10,Top,TRUE,0.9009284728,0.2872958776,-56.03920826,0.001173955296,0.00105410628,0,0.001208,0.001091,0
110,88,72.5,25,R,16,Bottom,TRUE,2.000948438,0.1522204558,-56.02520244,0.001164237123,0.001068599034,0,0.001198,0.001106,0
98,87,97.5,25,R,14,Top,TRUE,0.4957356092,0.1276539083,-55.98412704,0.001209912536,0.001025120773,7.95E-05,0.001245,0.001061,8.23E-05
95,98,46.65063509,12.5,L,4,Top,TRUE,0.3367708586,0.4570461472,-55.97057609,0.001192419825,0.001052173913,5.25E-06,0.001227,0.001089,5.43E-06
91,87,72.5,25,R,16,Top,TRUE,0.2153075914,0.1303135267,-55.96370214,0.001172011662,0.001076328502,2.96E-05,0.001206,0.001114,3.06E-05
92,92,12.5,3.349364905,L,7,Top,TRUE,0.2369277213,0.2365809739,-55.92334011,0.001211856171,0.001041545894,5.66E-05,0.001247,0.001078,5.86E-05
94,90,25,37.5,L,13,Bottom,TRUE,0.2931871277,0.1803896902,-55.91513739,0.001222546161,0.001032850242,7.31E-06,0.001258,0.001069,7.57E-06
95,89,85,37.5,R,13,Bottom,TRUE,0.3512037566,0.1650130043,-55.88400484,0.00119047619,0.00107826087,0,0.001225,0.001116,0
89,89,97.5,25,R,14,Bottom,TRUE,0.1790975406,0.1743127813,-55.8633037,0.001218658892,0.001052173913,2.70E-06,0.001254,0.001089,2.79E-06
94,97,97.5,3.349364905,R,5,Top,TRUE,0.3041491778,0.4168971253,-55.85796988,0.001227405248,0.001043478261,4.67E-06,0.001263,0.00108,4.83E-06
98,96,37.5,3.349364905,L,5,Top,TRUE,0.500333805,0.3908178949,-55.8567464,0.00120505345,0.001069565217,0,0.00124,0.001107,0
97,92,25,0,L,6,Top,TRUE,0.4486808345,0.2304108637,-55.82649577,0.00116909621,0.001116908213,0,0.001203,0.001156,0
90,86,12.5,25,L,16,Top,TRUE,0.1850446054,0.1141043825,-55.82455297,0.001241982507,0.001035748792,1.20E-05,0.001278,0.001072,1.24E-05
102,90,85,37.5,R,13,Top,TRUE,0.7509813193,0.19919881,-55.81497867,0.001186588921,0.001101449275,5.30E-06,0.001221,0.00114,5.49E-06
96,93,72.5,46.65063509,R,11,Top,TRUE,0.381473691,0.254282378,-55.77847958,0.001217687075,0.001077294686,2.89E-06,0.001253,0.001115,2.99E-06
88,88,25,12.5,L,15,Bottom,TRUE,0.1461972679,0.1579977906,-55.76549714,0.00124101069,0.00105410628,0,0.001277,0.001091,0
